T,I,k
1,1,1
2,1,1
3,1,0
4,1,0
5,1,0
6,1,0
7,1,103
8,1,0
9,1,0
10,1,0
11,1,0
12,1,1
1,2,1
2,2,1
3,2,1
4,2,0
5,2,0
6,2,0
7,2,104
8,2,0
9,2,0
10,2,0
11,2,1
12,2,1
1,3,0
2,3,0
3,3,1
4,3,0
5,3,0
6,3,103
7,3,0
8,3,103
9,3,103
10,3,0
11,3,105
12,3,0
1,4,0
2,4,0
3,4,0
4,4,103
5,4,104
6,4,104
7,4,0
8,4,103
9,4,156
10,4,0
11,4,0
12,4,0
1,5,0
2,5,0
3,5,0
4,5,105
5,5,104
6,5,0
7,5,0
8,5,0
9,5,0
10,5,1
11,5,0
12,5,0
1,6,159
2,6,159
3,6,159
4,6,159
5,6,159
6,6,158
7,6,158
8,6,157
9,6,154
10,6,158
11,6,159
12,6,159
